#Frame,Mode1,Mode2,Mode3
1,94.766,-93.704,-89.572
2,97.085,-66.545,-81.44
3,113.354,-90.786,-90.826
4,112.243,-86.833,-93.377
5,75.47,-65.407,-83.168
6,72.033,-73.411,-96.819
7,72.77,-64.636,-86.593
8,66.953,-80.884,-89.448
9,89.247,-85.918,-98.435
10,70.973,-78.656,-101.268
11,77.874,-93.236,-90.951
12,81.386,-85.141,-71.043
13,74.56,-77.114,-89.28
14,71.705,-74.753,-73.582
15,75.74,-83.262,-80.096
16,68.78,-90.229,-81.173
17,79.484,-102.268,-93.499
18,85.268,-93.752,-79.418
19,96.293,-65.363,-76.084
20,125.684,-60.185,-80.863
21,130.008,-80.571,-75.672
22,113.117,-79.414,-78.712
23,104.515,-47.388,-76.696
24,115.365,-43.787,-83.498
25,136.573,-57.647,-81.541
26,111.955,-67.98,-79.37
27,107.791,-64.418,-71.319
28,122.474,-28.558,-66.537
29,109.273,-39.107,-48.048
30,100.76,-35.355,-33.252
31,99.645,-46.251,-45.364
32,105.35,-21.666,-32.083
33,95.014,-11.32,-25.652
34,86.666,-51.135,-51.102
35,92.834,-54.996,-48.917
36,88.126,-52.376,-64.95
37,78.658,-51.747,-60.462
38,83.872,-41.891,-73.45
39,65.479,-52.919,-65.144
40,85.61,-51.42,-77.272
41,72.681,-64.038,-80.946
42,73.373,-77.964,-77.015
43,77.59,-76.586,-77.019
44,77.914,-86.482,-67.087
45,61.211,-103.272,-55.442
46,50.93,-95.551,-58.398
47,45.163,-62.063,-49.787
48,69.448,-74.048,-49.727
49,46.602,-77.85,-44.668
50,61.344,-76.981,-43.194
51,61.136,-97.129,-51.846
52,71.131,-77.077,-73.358
53,79.039,-79.555,-64.939
54,77.389,-78.819,-80.024
55,67.075,-96.88,-72.345
56,58.98,-90.076,-46.511
57,61.351,-58.495,-42.689
58,77.902,-59.586,-50.476
59,92.777,-59.182,-49.815
60,94.904,-46.086,-44.871
61,79.863,-54.18,-43.655
62,94.028,-76.357,-65.815
63,88.636,-66.038,-66.769
64,90.189,-65.145,-56.591
65,70.353,-40.706,-30.031
66,76.517,-26.137,-27.45
67,72.428,-46.484,-37.196
68,66.69,-39.586,-37.363
69,77.266,-49.114,-78.026
70,69.938,-69.279,-40.724
71,89.817,-61.096,-61.827
72,74.742,-65.522,-34.649
73,52.505,-51.79,-21.674
74,57.467,-27.474,-17.067
75,52.797,-34.759,-17.759
76,69.504,-51.724,-38.589
77,91.648,-45.152,-46.67
78,91.444,-41.573,-30.115
79,115.554,-41.034,-27.29
80,133.706,-26.601,-45.039
81,120.562,-44.157,-43.987
82,142.125,-62.904,-53.953
83,131.855,-82.865,-56.081
84,110.184,-71.01,-42.374
85,123.117,-69.145,-56.123
86,147.842,-78.963,-76.48
87,141.181,-73,-82.593
88,131.531,-73.04,-83.592
89,128.182,-65.393,-75.728
90,125.05,-47.327,-63.467
91,126.25,-50.626,-87.129
92,127.281,-57.497,-87.566
93,139.744,-60.473,-87.843
94,127.641,-58.897,-89.766
95,131.068,-56.182,-97.064
96,125.937,-42.779,-67.05
97,136.315,-32.816,-67.977
98,138.04,-41.079,-69.917
99,130.983,-54.266,-79.364
100,102.085,-27.326,-61.044
101,75.85,-6.933,-62.045
102,73.457,18.335,-68.736
103,78.028,31.268,-57.766
104,68.3,13.281,-48.344
105,74.256,27.153,-58.034
106,95.463,20.06,-57.513
107,88.423,53.161,-50.937
108,97.6,44.681,-55.94
109,112.905,51.87,-60.886
110,111.53,35.688,-83.216
111,124.413,25.188,-76.27
112,111.259,45.093,-87.274
113,111.598,45.607,-101.222
114,95.958,22.701,-95.004
115,117.866,44.952,-75.368
116,112.98,42.935,-98.939
117,112.279,14.583,-71.563
118,116.074,22.36,-73.89
119,131.005,16.624,-70.896
120,136.805,15.989,-57.964
121,110.184,23.012,-71.342
122,106.754,6.374,-85.061
123,95.128,9.727,-80.844
124,103.142,1.131,-66.863
125,124.118,13.114,-70.809
126,121.487,-3.207,-75.519
127,109.418,36.491,-95.869
128,111.656,34.436,-70.064
129,108.411,22.893,-54.354
130,115.864,19.797,-68.85
131,105.784,23.343,-58.177
132,105.524,22.598,-80.654
133,104.284,33.274,-71.259
134,115.154,47.875,-66.66
135,120.092,63.884,-55.312
136,103.586,60.016,-58.112
137,87.443,75.999,-55.69
138,103.597,70.888,-62.849
139,93.35,91.211,-53.949
140,95.315,82.159,-56.428
141,88.403,101.802,-69.865
142,85.311,76.143,-65.731
143,114.26,59.922,-66.829
144,120.307,84.841,-60.218
145,108.788,106.13,-51.01
146,85.902,106.335,-51.681
147,124.433,75.327,-59.544
148,114.392,93.447,-61.32
149,118.451,81.741,-59.94
150,119.72,83.177,-68.12
151,124.669,65.391,-53.166
152,135.653,73.23,-52.886
153,129.605,42.883,-63.283
154,151.119,20.908,-75.434
155,138.195,29.585,-65.856
156,130.672,22.92,-82.744
157,142.541,61.534,-71.207
158,120.516,49.631,-65.333
159,131.827,64.873,-64.112
160,133.203,61.608,-63.643
161,128.977,56.111,-73.66
162,132.315,54.45,-72.559
163,114.4,34.889,-64.791
164,115.856,31.566,-49.929
165,134.527,29.846,-41.24
166,133.886,10.695,-48.371
167,122.225,10.88,-47.76
168,135.293,15.138,-45.92
169,139.384,6.425,-49.845
170,146.884,37.2,-26.763
171,142.312,26.674,-46.013
172,140.832,27.001,-57.407
173,130.48,25.963,-35.757
174,130.012,25.378,-52.448
175,123.286,20.068,-52.197
176,130.822,33.042,-54.122
177,157.217,39.273,-43.78
178,138.377,41.856,-24.598
179,118.381,27.176,-13.734
180,117.466,48.954,-3.075
181,110.397,43.872,-13.529
182,118.52,45.871,-29.271
183,122.45,38.784,-30.594
184,129.295,21.693,-19.61
185,119.144,21.395,-8.081
186,112.868,40.731,-12.027
187,105.533,43.748,8.914
188,114.715,41.036,2.85
189,118.068,61.481,18.227
190,103.959,55.606,6.291
191,107.178,73.564,14.162
192,113.545,68.819,22.916
193,116.019,92.127,24.072
194,114.363,89.156,7.337
195,122.077,78.979,8.128
196,127.687,74.652,13.035
197,121.92,88.779,7.712
198,109.638,100.531,4.877
199,96.264,110.206,23.668
200,112.874,95.849,28.451
201,114.345,107.014,17.154
202,83.124,96.077,41.166
203,87.919,95.377,43.835
204,86.015,102.011,47.789
205,87.464,93.614,55.055
206,102.37,112.794,45.212
207,93.979,95.238,43.09
208,92.195,81.523,42.895
209,104.913,89.875,51.937
210,113.397,70.574,23.519
211,116.731,71.432,34.638
212,115.912,72.696,2.895
213,119.734,60.03,13.048
214,127.695,48.984,4.933
215,109.993,63.953,-5.094
216,111.799,57.924,0.571
217,99.728,74.943,17.02
218,84.534,67.729,15.818
219,89.067,36.558,9.98
220,84.037,33.749,11.568
221,111.268,34.874,11.582
222,87.031,35.289,9.018
223,79.605,48.677,17.922
224,70.821,35.207,6.647
225,86.023,19.24,-10.607
226,93.283,41.606,7.101
227,99.818,43.864,29.3
228,102.364,38.368,-1.209
229,97.579,45.122,8.851
230,91.545,31.034,4.753
231,108.198,49.382,3.942
232,122.858,41.468,13.074
233,99.105,41.868,17.369
234,130.385,26.255,5.604
235,130.613,18.01,21.632
236,110.707,30.765,15.568
237,108.188,37.401,37.082
238,109.976,33.315,16.574
239,106.026,24.824,-13.414
240,109.434,46.714,-13.474
241,98.944,25.833,-7.852
242,102.109,43.162,-10.236
243,118.365,37.681,0.325
244,128.171,32.593,-9.468
245,118.211,42.507,-1.934
246,117.169,73.423,-7.094
247,128.671,55,10.902
248,115.156,37.13,9.566
249,113.591,36.685,9.225
250,112.154,48.235,21.376
251,117.969,71.218,32.944
252,98.849,62.212,30.35
253,98.416,70.972,24.032
254,90.412,46.228,8.598
255,84.982,52.125,25.396
256,87.377,22.12,33.572
257,86.045,33.015,20.426
258,76.489,5.943,21.271
259,56.934,28.093,22.386
260,37.687,12.509,19.655
261,14.146,15.558,38.951
262,35.83,19.608,28.1
263,46.993,9.131,31.861
264,43.083,-0.406,32.618
265,38.79,-13.115,32.394
266,34.33,18.397,52.964
267,17.791,12.016,39.362
268,57.131,3.036,35.485
269,22.051,-11.102,19.681
270,20.908,1.974,28.022
271,41.858,-1.767,17.62
272,44.608,-24.107,0.327
273,44.547,-22.432,-10.267
274,60.045,-4.283,-3.024
275,54.029,-30.757,-9.097
276,42.628,-32.346,-9.532
277,46.783,-61.378,-3.673
278,61.791,-61.909,1.739
279,70.391,-66.747,-8.161
280,49.721,-68.93,-17.498
281,46.289,-54.758,-11.747
282,57.649,-51.038,-9.54
283,58.709,-62.611,-12.615
284,56.061,-56.1,7.986
285,57.448,-52.488,7.771
286,62.361,-69.355,-2.776
287,63.194,-55.731,-0.629
288,67.243,-64.923,-13.288
289,58.452,-60.987,-11.877
290,66.299,-64.431,-23.474
291,61.109,-77.484,-15.407
292,69.193,-61.15,-22.217
293,48.623,-51.094,-22.805
294,56.164,-53.931,-39.42
295,57.107,-55.811,-25.09
296,50.82,-50.133,-10.675
297,49.825,-30.301,-19.157
298,60.602,-52.843,-27.391
299,50.858,-59.205,-43.256
300,51.663,-46.747,-12.312
301,36.231,-49.928,-19.667
302,40.48,-50.957,-35.957
303,40.148,-28.571,-9.409
304,36.83,-62.122,-30.66
305,29.471,-42.985,-30.485
306,33.959,-73.202,-47.096
307,21.319,-57.34,-45.536
308,11.737,-50.105,-54.01
309,21.225,-58.619,-42.784
310,36.736,-59.572,-44.511
311,38.408,-72.679,-56.026
312,34.4,-49.182,-58.915
313,38.896,-29.809,-66.376
